STATION;DATE;AWND;TAVG;TMAX;TMIN;WT01;WT02;WT03;WT04;WT05;WT06;WT07;WT08;WT09;WT10;WT11;WT13;WT14;WT15;WT16;WT17;WT18;WT19;WT21;WT22
USC00379423;3.03.2005;;;35;18;;;;;;;;;;;;;;;;;;;;
USC00379423;4.03.2005;;;29;11;;;;;;;;;;;;;;;;;;;;
USC00379423;5.03.2005;;;34;14;;;;;;;;;;;;;;;;;;;;
USC00379423;6.03.2005;;;42;20;;;;;;;;;;;;;;;;;;;;
USC00379423;7.03.2005;;;43;30;;;;;;;;;;;;;;;;;;;;
USC00379423;8.03.2005;;;49;38;;;;;;;;;;;;;;;;;;;;
USC00379423;9.03.2005;;;44;8;;;;;;;;;;;;;;;;;;;;
USC00379423;10.03.2005;;;24;10;;;;;;;;;;;;;;;;;;;;
USC00379423;11.03.2005;;;31;12;;;;;;;;;;;;;;;;;;;;
USC00379423;12.03.2005;;;32;23;;;;;;;;;;;;;;;;;;;;
USC00379423;13.03.2005;;;34;23;;;;;;;;;;;;;;;;;;;;
USC00379423;14.03.2005;;;39;22;;;;;;;;;;;;;;;;;;;;
USC00379423;15.03.2005;;;42;27;;;;;;;;;;;;;;;;;;;;
USC00379423;16.03.2005;;;45;28;;;;;;;;;;;;;;;;;;;;
USC00379423;17.03.2005;;;50;21;;;;;;;;;;;;;;;;;;;;
USC00379423;18.03.2005;;;46;24;;;;;;;;;;;;;;;;;;;;
USC00379423;19.03.2005;;;46;27;;;;;;;;;;;;;;;;;;;;
USC00379423;20.03.2005;;;48;22;;;;;;;;;;;;;;;;;;;;
USC00379423;21.03.2005;;;48;35;;;;;;;;;;;;;;;;;;;;
USC00379423;22.03.2005;;;43;24;;;;;;;;;;;;;;;;;;;;
USC00379423;23.03.2005;;;55;29;;;;;;;;;;;;;;;;;;;;
USC00379423;24.03.2005;;;44;32;;;;;;;;;;;;;;;;;;;;
USC00379423;25.03.2005;;;41;26;;;;;;;;;;;;;;;;;;;;
USC00379423;26.03.2005;;;49;23;;;;;;;;;;;;;;;;;;;;
USC00379423;27.03.2005;;;49;23;;;;;;;;;;;;;;;;;;;;
USC00379423;28.03.2005;;;51;31;;;;;;;;;;;;;;;;;;;;
USC00379423;29.03.2005;;;42;38;;;;;;;;;;;;;;;;;;;;
USC00379423;30.03.2005;;;50;31;;;;;;;;;;;;;;;;;;;;
USC00379423;31.03.2005;;;61;29;;;;;;;;;;;;;;;;;;;;
USC00379423;1.04.2005;;;56;39;;;;;;;;;;;;;;;;;;;;
USC00379423;2.04.2005;;;59;38;;;;;;;;;;;;;;;;;;;;
USC00379423;3.04.2005;;;57;38;;;;;;;;;;;;;;;;;;;;
USC00379423;4.04.2005;;;52;38;;;;;;;;;;;;;;;;;;;;
USC00379423;5.04.2005;;;53;35;;;;;;;;;;;;;;;;;;;;
USC00379423;6.04.2005;;;65;37;;;;;;;;;;;;;;;;;;;;
USC00379423;7.04.2005;;;63;40;;;;;;;;;;;;;;;;;;;;
USC00379423;8.04.2005;;;73;46;;;;;;;;;;;;;;;;;;;;
USC00379423;9.04.2005;;;73;32;;;;;;;;;;;;;;;;;;;;
USC00379423;10.04.2005;;;73;30;;;;;;;;;;;;;;;;;;;;
USC00379423;11.04.2005;;;72;36;;;;;;;;;;;;;;;;;;;;
USC00379423;12.04.2005;;;54;30;;;;;;;;;;;;;;;;;;;;
USC00379423;13.04.2005;;;52;30;;;;;;;;;;;;;;;;;;;;
USC00379423;14.04.2005;;;52;46;;;;;;;;;;;;;;;;;;;;
USC00379423;15.04.2005;;;56;29;;;;;;;;;;;;;;;;;;;;
USC00379423;16.04.2005;;;53;26;;;;;;;;;;;;;;;;;;;;
USC00379423;17.04.2005;;;60;29;;;;;;;;;;;;;;;;;;;;
USC00379423;18.04.2005;;;76;39;;;;;;;;;;;;;;;;;;;;
USC00379423;19.04.2005;;;73;35;;;;;;;;;;;;;;;;;;;;
USC00379423;20.04.2005;;;75;46;;;;;;;;;;;;;;;;;;;;
USC00379423;21.04.2005;;;87;42;;;;;;;;;;;;;;;;;;;;
USC00379423;22.04.2005;;;61;30;;;;;;;;;;;;;;;;;;;;
USC00379423;23.04.2005;;;62;44;;;;;;;;;;;;;;;;;;;;
USC00379423;24.04.2005;;;63;44;;;;;;;;;;;;;;;;;;;;
USC00379423;25.04.2005;;;60;40;;;;;;;;;;;;;;;;;;;;
USC00379423;26.04.2005;;;51;36;;;;;;;;;;;;;;;;;;;;
USC00379423;27.04.2005;;;68;50;;;;;;;;;;;;;;;;;;;;
USC00379423;28.04.2005;;;56;46;;;;;;;;;;;;;;;;;;;;
USC00379423;29.04.2005;;;63;39;;;;;;;;;;;;;;;;;;;;
USC00379423;30.04.2005;;;65;46;;;;;;;;;;;;;;;;;;;;
USC00379423;1.05.2005;;;56;48;;;;;;;;;;;;;;;;;;;;
USC00379423;2.05.2005;;;59;35;;;;;;;;;;;;;;;;;;;;
USC00379423;3.05.2005;;;63;36;;;;;;;;;;;;;;;;;;;;
USC00379423;4.05.2005;;;58;36;;;;;;;;;;;;;;;;;;;;
USC00379423;5.05.2005;;;57;32;;;;;;;;;;;;;;;;;;;;
USC00379423;6.05.2005;;;63;35;;;;;;;;;;;;;;;;;;;;
USC00379423;7.05.2005;;;56;43;;;;;;;;;;;;;;;;;;;;
USC00379423;8.05.2005;;;56;41;;;;;;;;;;;;;;;;;;;;
USC00379423;9.05.2005;;;52;44;;;;;;;;;;;;;;;;;;;;
USC00379423;10.05.2005;;;56;48;;;;;;;;;;;;;;;;;;;;
USC00379423;11.05.2005;;;72;43;;;;;;;;;;;;;;;;;;;;
USC00379423;12.05.2005;;;73;49;;;;;;;;;;;;;;;;;;;;
USC00379423;13.05.2005;;;62;31;;;;;;;;;;;;;;;;;;;;
USC00379423;14.05.2005;;;64;46;;;;;;;;;;;;;;;;;;;;
USC00379423;15.05.2005;;;63;50;;;;;;;;;;;;;;;;;;;;
USC00379423;16.05.2005;;;66;44;;;;;;;;;;;;;;;;;;;;
USC00379423;17.05.2005;;;65;45;;;;;;;;;;;;;;;;;;;;
USC00379423;18.05.2005;;;69;47;;;;;;;;;;;;;;;;;;;;
USC00379423;19.05.2005;;;61;43;;;;;;;;;;;;;;;;;;;;
USC00379423;20.05.2005;;;65;42;;;;;;;;;;;;;;;;;;;;
USC00379423;21.05.2005;;;66;43;;;;;;;;;;;;;;;;;;;;
USC00379423;22.05.2005;;;66;43;;;;;;;;;;;;;;;;;;;;
USC00379423;23.05.2005;;;57;45;;;;;;;;;;;;;;;;;;;;
USC00379423;24.05.2005;;;55;45;;;;;;;;;;;;;;;;;;;;
USC00379423;25.05.2005;;;47;43;;;;;;;;;;;;;;;;;;;;
USC00379423;26.05.2005;;;48;43;;;;;;;;;;;;;;;;;;;;
USC00379423;27.05.2005;;;55;47;;;;;;;;;;;;;;;;;;;;
USC00379423;28.05.2005;;;69;48;;;;;;;;;;;;;;;;;;;;
USC00379423;29.05.2005;;;78;53;;;;;;;;;;;;;;;;;;;;
USC00379423;30.05.2005;;;74;48;;;;;;;;;;;;;;;;;;;;
USC00379423;31.05.2005;;;77;49;;;;;;;;;;;;;;;;;;;;
USC00379423;1.06.2005;;;63;50;;;;;;;;;;;;;;;;;;;;
USC00379423;2.06.2005;;;71;50;;;;;;;;;;;;;;;;;;;;
USC00379423;3.06.2005;;;75;50;;;;;;;;;;;;;;;;;;;;
USC00379423;4.06.2005;;;79;56;;;;;;;;;;;;;;;;;;;;
USC00379423;5.06.2005;;;85;56;;;;;;;;;;;;;;;;;;;;
USC00379423;6.06.2005;;;91;55;;;;;;;;;;;;;;;;;;;;
USC00379423;7.06.2005;;;77;55;;;;;;;;;;;;;;;;;;;;
USC00379423;8.06.2005;;;88;56;;;;;;;;;;;;;;;;;;;;
USC00379423;9.06.2005;;;90;66;;;;;;;;;;;;;;;;;;;;
USC00379423;10.06.2005;;;88;67;;;;;;;;;;;;;;;;;;;;
USC00379423;11.06.2005;;;81;67;;;;;;;;;;;;;;;;;;;;
USC00379423;12.06.2005;;;88;67;;;;;;;;;;;;;;;;;;;;
USC00379423;13.06.2005;;;89;71;;;;;;;;;;;;;;;;;;;;
USC00379423;14.06.2005;;;91;71;;;;;;;;;;;;;;;;;;;;
USC00379423;15.06.2005;;;89;52;;;;;;;;;;;;;;;;;;;;
USC00379423;16.06.2005;;;55;49;;;;;;;;;;;;;;;;;;;;
USC00379423;17.06.2005;;;68;52;;;;;;;;;;;;;;;;;;;;
USC00379423;18.06.2005;;;74;52;;;;;;;;;;;;;;;;;;;;
USC00379423;19.06.2005;;;74;51;;;;;;;;;;;;;;;;;;;;
USC00379423;20.06.2005;;;65;45;;;;;;;;;;;;;;;;;;;;
USC00379423;21.06.2005;;;77;49;;;;;;;;;;;;;;;;;;;;
USC00379423;22.06.2005;;;84;58;;;;;;;;;;;;;;;;;;;;
USC00379423;23.06.2005;;;74;47;;;;;;;;;;;;;;;;;;;;
USC00379423;24.06.2005;;;76;55;;;;;;;;;;;;;;;;;;;;
USC00379423;25.06.2005;;;84;62;;;;;;;;;;;;;;;;;;;;
USC00379423;26.06.2005;;;92;66;;;;;;;;;;;;;;;;;;;;
USC00379423;27.06.2005;;;95;66;;;;;;;;;;;;;;;;;;;;
USC00379423;28.06.2005;;;88;69;;;;;;;;;;;;;;;;;;;;
USC00379423;29.06.2005;;;78;68;;;;;;;;;;;;;;;;;;;;
USC00379423;30.06.2005;;;87;69;;;;;;;;;;;;;;;;;;;;
USC00379423;1.07.2005;;;77;65;;;;;;;;;;;;;;;;;;;;
USC00379423;2.07.2005;;;78;66;;;;;;;;;;;;;;;;;;;;
USC00379423;3.07.2005;;;81;52;;;;;;;;;;;;;;;;;;;;
USC00379423;4.07.2005;;;80;53;;;;;;;;;;;;;;;;;;;;
USC00379423;5.07.2005;;;82;52;;;;;;;;;;;;;;;;;;;;
USC00379423;6.07.2005;;;85;68;;;;;;;;;;;;;;;;;;;;
USC00379423;7.07.2005;;;74;59;;;;;;;;;;;;;;;;;;;;
USC00379423;8.07.2005;;;74;58;;;;;;;;;;;;;;;;;;;;
USC00379423;9.07.2005;;;63;54;;;;;;;;;;;;;;;;;;;;
USC00379423;10.07.2005;;;70;54;;;;;;;;;;;;;;;;;;;;
USC00379423;11.07.2005;;;89;68;;;;;;;;;;;;;;;;;;;;
USC00379423;12.07.2005;;;91;62;;;;;;;;;;;;;;;;;;;;
USC00379423;13.07.2005;;;91;60;;;;;;;;;;;;;;;;;;;;
USC00379423;14.07.2005;;;77;65;;;;;;;;;;;;;;;;;;;;
USC00379423;15.07.2005;;;84;69;;;;;;;;;;;;;;;;;;;;
USC00379423;16.07.2005;;;87;67;;;;;;;;;;;;;;;;;;;;
USC00379423;17.07.2005;;;87;68;;;;;;;;;;;;;;;;;;;;
USC00379423;18.07.2005;;;81;70;;;;;;;;;;;;;;;;;;;;
USC00379423;19.07.2005;;;85;70;;;;;;;;;;;;;;;;;;;;
USC00379423;21.07.2005;;;87;64;;;;;;;;;;;;;;;;;;;;
USC00379423;22.07.2005;;;87;63;;;;;;;;;;;;;;;;;;;;
USC00379423;23.07.2005;;;91;65;;;;;;;;;;;;;;;;;;;;
USC00379423;24.07.2005;;;83;55;;;;;;;;;;;;;;;;;;;;
USC00379423;25.07.2005;;;83;66;;;;;;;;;;;;;;;;;;;;
USC00379423;26.07.2005;;;82;64;;;;;;;;;;;;;;;;;;;;
USC00379423;27.07.2005;;;93;74;;;;;;;;;;;;;;;;;;;;
USC00379423;28.07.2005;;;93;66;;;;;;;;;;;;;;;;;;;;
USC00379423;29.07.2005;;;76;54;;;;;;;;;;;;;;;;;;;;
USC00379423;30.07.2005;;;82;65;;;;;;;;;;;;;;;;;;;;
USC00379423;1.08.2005;;;73;63;;;;;;;;;;;;;;;;;;;;
USC00379423;2.08.2005;;;83;67;;;;;;;;;;;;;;;;;;;;
USC00379423;3.08.2005;;;89;64;;;;;;;;;;;;;;;;;;;;
USC00379423;4.08.2005;;;91;64;;;;;;;;;;;;;;;;;;;;
USC00379423;5.08.2005;;;89;70;;;;;;;;;;;;;;;;;;;;
USC00379423;6.08.2005;;;96;63;;;;;;;;;;;;;;;;;;;;
USC00379423;7.08.2005;;;88;52;;;;;;;;;;;;;;;;;;;;
USC00379423;8.08.2005;;;85;63;;;;;;;;;;;;;;;;;;;;
USC00379423;9.08.2005;;;91;71;;;;;;;;;;;;;;;;;;;;
USC00379423;10.08.2005;;;87;66;;;;;;;;;;;;;;;;;;;;
USC00379423;11.08.2005;;;87;66;;;;;;;;;;;;;;;;;;;;
USC00379423;12.08.2005;;;91;68;;;;;;;;;;;;;;;;;;;;
USC00379423;13.08.2005;;;89;74;;;;;;;;;;;;;;;;;;;;
USC00379423;14.08.2005;;;96;73;;;;;;;;;;;;;;;;;;;;
USC00379423;15.08.2005;;;94;65;;;;;;;;;;;;;;;;;;;;
USC00379423;16.08.2005;;;68;59;;;;;;;;;;;;;;;;;;;;
USC00379423;17.08.2005;;;78;62;;;;;;;;;;;;;;;;;;;;
USC00379423;18.08.2005;;;85;55;;;;;;;;;;;;;;;;;;;;
USC00379423;19.08.2005;;;78;57;;;;;;;;;;;;;;;;;;;;
USC00379423;20.08.2005;;;79;62;;;;;;;;;;;;;;;;;;;;
USC00379423;21.08.2005;;;85;65;;;;;;;;;;;;;;;;;;;;
USC00379423;22.08.2005;;;88;63;;;;;;;;;;;;;;;;;;;;
USC00379423;23.08.2005;;;84;56;;;;;;;;;;;;;;;;;;;;
USC00379423;25.08.2005;;;76;54;;;;;;;;;;;;;;;;;;;;
USC00379423;26.08.2005;;;80;54;;;;;;;;;;;;;;;;;;;;
USC00379423;27.08.2005;;;84;57;;;;;;;;;;;;;;;;;;;;
USC00379423;28.08.2005;;;84;62;;;;;;;;;;;;;;;;;;;;
USC00379423;29.08.2005;;;82;71;;;;;;;;;;;;;;;;;;;;
USC00379423;30.08.2005;;;83;70;;;;;;;;;;;;;;;;;;;;
USC00379423;31.08.2005;;;75;71;;;;;;;;;;;;;;;;;;;;
USC00379423;1.09.2005;;;79;65;;;;;;;;;;;;;;;;;;;;
USC00379423;2.09.2005;;;83;58;;;;;;;;;;;;;;;;;;;;
USC00379423;3.09.2005;;;85;58;;;;;;;;;;;;;;;;;;;;
USC00379423;4.09.2005;;;80;56;;;;;;;;;;;;;;;;;;;;
USC00379423;5.09.2005;;;81;53;;;;;;;;;;;;;;;;;;;;
USC00379423;6.09.2005;;;77;49;;;;;;;;;;;;;;;;;;;;
USC00379423;7.09.2005;;;78;52;;;;;;;;;;;;;;;;;;;;
USC00379423;8.09.2005;;;82;55;;;;;;;;;;;;;;;;;;;;
USC00379423;9.09.2005;;;84;60;;;;;;;;;;;;;;;;;;;;
USC00379423;10.09.2005;;;74;51;;;;;;;;;;;;;;;;;;;;
USC00379423;11.09.2005;;;67;59;;;;;;;;;;;;;;;;;;;;
USC00379423;12.09.2005;;;75;57;;;;;;;;;;;;;;;;;;;;
USC00379423;13.09.2005;;;89;62;;;;;;;;;;;;;;;;;;;;
USC00379423;14.09.2005;;;86;65;;;;;;;;;;;;;;;;;;;;
USC00379423;15.09.2005;;;87;68;;;;;;;;;;;;;;;;;;;;
USC00379423;16.09.2005;;;73;67;;;;;;;;;;;;;;;;;;;;
USC00379423;17.09.2005;;;69;62;;;;;;;;;;;;;;;;;;;;
USC00379423;18.09.2005;;;74;61;;;;;;;;;;;;;;;;;;;;
USC00379423;19.09.2005;;;76;55;;;;;;;;;;;;;;;;;;;;
USC00379423;20.09.2005;;;82;57;;;;;;;;;;;;;;;;;;;;
USC00379423;21.09.2005;;;76;55;;;;;;;;;;;;;;;;;;;;
USC00379423;22.09.2005;;;79;53;;;;;;;;;;;;;;;;;;;;
USC00379423;23.09.2005;;;83;63;;;;;;;;;;;;;;;;;;;;
USC00379423;24.09.2005;;;83;46;;;;;;;;;;;;;;;;;;;;
USC00379423;25.09.2005;;;69;40;;;;;;;;;;;;;;;;;;;;
USC00379423;26.09.2005;;;67;49;;;;;;;;;;;;;;;;;;;;
USC00379423;27.09.2005;;;74;63;;;;;;;;;;;;;;;;;;;;
USC00379423;28.09.2005;;;71;44;;;;;;;;;;;;;;;;;;;;
USC00379423;29.09.2005;;;72;49;;;;;;;;;;;;;;;;;;;;
USC00379423;30.09.2005;;;75;40;;;;;;;;;;;;;;;;;;;;
USC00379423;1.10.2005;;;63;39;;;;;;;;;;;;;;;;;;;;
USC00379423;2.10.2005;;;71;44;;;;;;;;;;;;;;;;;;;;
USC00379423;3.10.2005;;;80;47;;;;;;;;;;;;;;;;;;;;
USC00379423;4.10.2005;;;76;50;;;;;;;;;;;;;;;;;;;;
USC00379423;5.10.2005;;;77;54;;;;;;;;;;;;;;;;;;;;
USC00379423;6.10.2005;;;79;57;;;;;;;;;;;;;;;;;;;;
USC00379423;7.10.2005;;;79;64;;;;;;;;;;;;;;;;;;;;
USC00379423;8.10.2005;;;79;68;;;;;;;;;;;;;;;;;;;;
USC00379423;9.10.2005;;;73;49;;;;;;;;;;;;;;;;;;;;
USC00379423;10.10.2005;;;54;49;;;;;;;;;;;;;;;;;;;;
USC00379423;11.10.2005;;;55;53;;;;;;;;;;;;;;;;;;;;
USC00379423;12.10.2005;;;57;51;;;;;;;;;;;;;;;;;;;;
USC00379423;13.10.2005;;;55;51;;;;;;;;;;;;;;;;;;;;
USC00379423;14.10.2005;;;58;55;;;;;;;;;;;;;;;;;;;;
USC00379423;15.10.2005;;;60;57;;;;;;;;;;;;;;;;;;;;
USC00379423;16.10.2005;;;61;50;;;;;;;;;;;;;;;;;;;;
USC00379423;17.10.2005;;;58;50;;;;;;;;;;;;;;;;;;;;
USC00379423;18.10.2005;;;61;40;;;;;;;;;;;;;;;;;;;;
USC00379423;19.10.2005;;;67;44;;;;;;;;;;;;;;;;;;;;
USC00379423;20.10.2005;;;67;40;;;;;;;;;;;;;;;;;;;;
USC00379423;21.10.2005;;;57;35;;;;;;;;;;;;;;;;;;;;
USC00379423;22.10.2005;;;57;33;;;;;;;;;;;;;;;;;;;;
USC00379423;23.10.2005;;;49;33;;;;;;;;;;;;;;;;;;;;
USC00379423;24.10.2005;;;49;38;;;;;;;;;;;;;;;;;;;;
USC00379423;25.10.2005;;;50;42;;;;;;;;;;;;;;;;;;;;
USC00379423;26.10.2005;;;51;37;;;;;;;;;;;;;;;;;;;;
USC00379423;27.10.2005;;;50;32;;;;;;;;;;;;;;;;;;;;
USC00379423;28.10.2005;;;48;38;;;;;;;;;;;;;;;;;;;;
USC00379423;29.10.2005;;;44;36;;;;;;;;;;;;;;;;;;;;
USC00379423;30.10.2005;;;48;32;;;;;;;;;;;;;;;;;;;;
USC00379423;31.10.2005;;;67;37;;;;;;;;;;;;;;;;;;;;
USC00379423;1.11.2005;;;72;39;;;;;;;;;;;;;;;;;;;;
USC00379423;2.11.2005;;;71;42;;;;;;;;;;;;;;;;;;;;
USC00379423;3.11.2005;;;59;32;;;;;;;;;;;;;;;;;;;;
USC00379423;4.11.2005;;;63;43;;;;;;;;;;;;;;;;;;;;
USC00379423;5.11.2005;;;67;44;;;;;;;;;;;;;;;;;;;;
USC00379423;6.11.2005;;;75;45;;;;;;;;;;;;;;;;;;;;
USC00379423;7.11.2005;;;61;48;;;;;;;;;;;;;;;;;;;;
USC00379423;8.11.2005;;;61;36;;;;;;;;;;;;;;;;;;;;
USC00379423;9.11.2005;;;59;31;;;;;;;;;;;;;;;;;;;;
USC00379423;10.11.2005;;;60;38;;;;;;;;;;;;;;;;;;;;
USC00379423;11.11.2005;;;52;28;;;;;;;;;;;;;;;;;;;;
USC00379423;12.11.2005;;;44;22;;;;;;;;;;;;;;;;;;;;
USC00379423;13.11.2005;;;54;30;;;;;;;;;;;;;;;;;;;;
USC00379423;14.11.2005;;;63;44;;;;;;;;;;;;;;;;;;;;
USC00379423;15.11.2005;;;65;34;;;;;;;;;;;;;;;;;;;;
USC00379423;16.11.2005;;;60;40;;;;;;;;;;;;;;;;;;;;
USC00379423;17.11.2005;;;67;41;;;;;;;;;;;;;;;;;;;;
USC00379423;18.11.2005;;;48;27;;;;;;;;;;;;;;;;;;;;
USC00379423;19.11.2005;;;41;20;;;;;;;;;;;;;;;;;;;;
USC00379423;20.11.2005;;;45;25;;;;;;;;;;;;;;;;;;;;
USC00379423;21.11.2005;;;57;29;;;;;;;;;;;;;;;;;;;;
USC00379423;22.11.2005;;;58;34;;;;;;;;;;;;;;;;;;;;
USC00379423;23.11.2005;;;45;29;;;;;;;;;;;;;;;;;;;;
USC00379423;24.11.2005;;;35;22;;;;;;;;;;;;;;;;;;;;
USC00379423;25.11.2005;;;43;19;;;;;;;;;;;;;;;;;;;;
USC00379423;26.11.2005;;;34;15;;;;;;;;;;;;;;;;;;;;
USC00379423;27.11.2005;;;37;19;;;;;;;;;;;;;;;;;;;;
USC00379423;28.11.2005;;;43;37;;;;;;;;;;;;;;;;;;;;
USC00379423;29.11.2005;;;56;37;;;;;;;;;;;;;;;;;;;;
USC00379423;30.11.2005;;;60;55;;;;;;;;;;;;;;;;;;;;
USC00379423;1.12.2005;;;63;35;;;;;;;;;;;;;;;;;;;;
USC00379423;2.12.2005;;;47;37;;;;;;;;;;;;;;;;;;;;
USC00379423;3.12.2005;;;43;29;;;;;;;;;;;;;;;;;;;;
USC00379423;4.12.2005;;;36;26;;;;;;;;;;;;;;;;;;;;
USC00379423;5.12.2005;;;29;16;;;;;;;;;;;;;;;;;;;;
USC00379423;6.12.2005;;;33;19;;;;;;;;;;;;;;;;;;;;
USC00379423;7.12.2005;;;37;19;;;;;;;;;;;;;;;;;;;;
USC00379423;8.12.2005;;;31;17;;;;;;;;;;;;;;;;;;;;
USC00379423;9.12.2005;;;34;17;;;;;;;;;;;;;;;;;;;;
USC00379423;10.12.2005;;;33;16;;;;;;;;;;;;;;;;;;;;
USC00379423;11.12.2005;;;38;17;;;;;;;;;;;;;;;;;;;;
USC00379423;12.12.2005;;;44;20;;;;;;;;;;;;;;;;;;;;
USC00379423;13.12.2005;;;41;12;;;;;;;;;;;;;;;;;;;;
USC00379423;14.12.2005;;;16;1;;;;;;;;;;;;;;;;;;;;
USC00379423;15.12.2005;;;27;0;;;;;;;;;;;;;;;;;;;;
USC00379423;16.12.2005;;;37;6;;;;;;;;;;;;;;;;;;;;
USC00379423;17.12.2005;;;46;23;;;;;;;;;;;;;;;;;;;;
USC00379423;18.12.2005;;;40;19;;;;;;;;;;;;;;;;;;;;
USC00379423;19.12.2005;;;35;16;;;;;;;;;;;;;;;;;;;;
USC00379423;20.12.2005;;;33;17;;;;;;;;;;;;;;;;;;;;
USC00379423;21.12.2005;;;33;11;;;;;;;;;;;;;;;;;;;;
USC00379423;22.12.2005;;;32;16;;;;;;;;;;;;;;;;;;;;
